name,overrides,note,status,error,used_fallback,load_s,gen_s,n_prompts,n_rollouts,output_tokens,prompt_tokens,output_tok_s,prompt_tok_s,total_tok_s,rollouts_per_s,s_per_rollout,ttft_s,truncated_frac,len_mean,len_median,len_p90,len_max,finish_reasons,warnings,pass
baseline,"{""enable_prefix_caching"": true, ""kv_cache_dtype"": ""auto"", ""max_num_seqs"": 256}",plan defaults minus the max_num_seqs guess; the reference point,ok,,False,118.39170422799998,12.780673018000016,16,64,103179,681,8073.049036986158,53.28357896652975,8126.332615952688,5.007561018880916,0.19969801590625025,,0.75,1612.171875,2048.0,2048.0,2048,"{""length"": 48, ""stop"": 16}",TRUNCATION 75.0% > 5% at max_tokens=2048: throughput describes a TRUNCATED distribution; p90 output length is at the max_tokens cap,True
no_prefix_cache,"{""enable_prefix_caching"": false, ""kv_cache_dtype"": ""auto"", ""max_num_seqs"": 256}",tests the plan's 'prefix caching is roughly a 2x win for free' claim,ok,,False,100.43280201299967,12.390980539999873,16,64,97609,681,7877.4233955823,54.95933092636484,7932.382726508665,5.1650472529917035,0.19360907093749802,,0.6875,1525.140625,2048.0,2048.0,2048,"{""length"": 44, ""stop"": 20}",TRUNCATION 68.8% > 5% at max_tokens=2048: throughput describes a TRUNCATED distribution; p90 output length is at the max_tokens cap,True
mtp_spec,"{""enable_prefix_caching"": true, ""kv_cache_dtype"": ""auto"", ""max_num_seqs"": 256, ""speculative_config"": {""method"": ""qwen3_next_mtp"", ""num_speculative_tokens"": 2}}",MTP speculative decoding (model card supported; plan never mentions it),ok,,False,151.8547402840004,9.263158992000172,16,64,80053,681,8642.084203578412,73.51703674611691,8715.601240324528,6.909090090677655,0.14473685925000268,,0.5625,1250.828125,2048.0,2048.0,2048,"{""length"": 36, ""stop"": 28}",TRUNCATION 56.2% > 5% at max_tokens=2048: throughput describes a TRUNCATED distribution; p90 output length is at the max_tokens cap,True
